Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
5 gallon mylar storage bags,19,19,170,22,0.89,https://72hours.com/products/5-gallon-mylar-bag-open-end,0,0,0.00,1,0,"[81,100,65,100,34,53,43,21,15,28,65,53]",2025-08-18,"Sitelinks, Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products","informational, transactional",Organic
300cc oxygen absorbers,19,19,210,6,2.59,https://72hours.com/products/300-cc-oxygen-absorbers,0,0,0.00,0.78,0,"[2,2,2,2,2,2,23,67,36,36,100,10]",2025-09-06,"Sitelinks, Reviews, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","commercial, informational",Organic
survival kit backpack,8,8,590,25,0.66,https://72hours.com/collections/deluxe-emergency-survival-kit,0,0,0.00,1,0,"[16,20,16,30,24,36,36,30,24,24,24,30]",2025-08-21,"Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Popular products, Things to know","informational, transactional",Organic
safety triangle,18,18,1000,32,4.58,https://72hours.com/products/auto-emergency-warning-triangle,0,0,0.00,1,0,"[67,76,67,100,67,76,100,67,55,76,100,76]",2025-09-10,"Sitelinks, Reviews, AMP, Image, Featured images, Video Carousel, People also ask, Popular products, Things to know",informational,Organic
survival backpack kit,17,17,320,9,0.71,https://72hours.com/collections/deluxe-emergency-survival-kit,0,0,0.00,1,0,"[10,16,24,36,16,30,45,30,24,16,10,30]",2025-08-17,"Sitelinks, Image, Shopping ads, Featured images, Video Carousel, People also ask, Popular products","informational, transactional",Organic
survival kit stuff,12,12,210,49,0.31,https://72hours.com/collections/deluxe-emergency-survival-kit,0,0,0.00,1,0,"[100,0,23,44,0,29,19,23,6,19,44,29]",2025-08-17,"Sitelinks, Reviews, Featured snippet, Image, Featured images, Video Carousel, People also ask, Popular products, Explore brands",commercial,Explore brands
72 hour emergency pack,2,2,210,35,0.81,https://72hours.com/collections/emergency-kit,0,0,0.00,1,0,"[66,28,100,100,35,35,28,23,0,6,0,0]",2025-08-31,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
emergency road kit,11,11,390,31,0.55,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,0,"[36,8,16,10,30,55,30,6,55,3,8,67]",2025-08-28,"Sitelinks, AMP, Image, Shopping ads, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
survival stuff for sale,15,15,210,41,0.37,https://72hours.com/collections/emergency-kit,0,0,0.00,1,0,"[43,43,65,65,100,100,81,53,53,43,34,34]",2025-09-08,"Local pack, Sitelinks, Reviews, Image, Popular products, Explore brands",transactional,Explore brands
roadside emergency kit car,11,11,260,39,0.47,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,0,"[0,1,11,13,13,100,16,4,13,1,0,0]",2025-09-02,"Sitelinks, Reviews, AMP, Image, Featured images, People also ask, Popular products",commercial,Organic
mre rations,20,20,390,40,0.51,https://72hours.com/collections/mres,0,0,0.00,1,0,"[67,5,100,12,54,44,54,36,44,44,44,29]",2025-08-21,"Sitelinks, Video, AMP, Image, People also ask, Popular products",commercial,Organic
meal ready to eat buy,13,13,390,23,0.60,https://72hours.com/collections/mres,0,0,0.00,1,0,"[67,81,36,81,23,44,15,29,12,15,67,100]",2025-08-29,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products, Discussions and forums",transactional,Organic
mountain house foods,2,2,480,19,0.68,https://72hours.com/collections/mountain-house,0,0,0.00,1,0,"[13,13,16,13,11,7,16,20,13,13,16,30]",2025-09-08,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Things to know",navigational,Things to know
mre packages,6,6,390,28,0.52,https://72hours.com/collections/mres,0,0,0.00,1,0,"[66,66,54,100,29,36,66,36,36,6,4,100]",2025-08-19,"Sitelinks, Image, People also ask, Popular products, Related searches","informational, transactional",Organic
affirm discount code,17,17,320,20,0.00,https://72hours.com/pages/affirm,0,0,0.00,0.01,0,"[10,10,13,10,100,30,6,8,8,10,13,8]",2025-08-28,"Sitelinks, People also ask, Related searches, People also search, AI overview",transactional,Organic
family emergency survival kits,14,14,170,48,0.87,https://72hours.com/collections/deluxe-emergency-survival-kit,0,0,0.00,0.75,0,"[81,28,23,18,8,18,28,11,11,23,11,100]",2025-09-01,"Sitelinks, Reviews, Image, People also ask, Popular products, Discussions and forums, Explore brands","informational, transactional",Explore brands
collapsible shovel snow,18,18,170,8,0.00,https://72hours.com/products/3-in-1-collapsible-snow-shovel,0,0,0.00,0.65,0,"[5,9,14,17,32,39,48,21,5,7,7,5]",2025-08-29,"Sitelinks, Reviews, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums",informational,Organic
mountain house meals sale,20,20,170,37,1.19,https://72hours.com/collections/mountain-house,0,0,0.00,1,0,"[100,66,43,43,17,23,43,53,23,28,35,43]",2025-08-25,"Sitelinks, Reviews, Image, Popular products",transactional,Organic
mres food,16,16,210,36,4.39,https://72hours.com/collections/mres,0,0,0.00,1,0,"[1,2,0,0,1,0,16,8,7,3,8,16]",2025-08-26,"Knowledge panel, Sitelinks, Video, AMP, Image, Featured images, People also ask, Popular products, Discussions and forums","commercial, informational",Organic
tube tent,6,6,480,20,0.25,https://72hours.com/products/tube-tent,0,0,0.00,1,0,"[59,59,59,72,39,39,59,59,39,32,39,48]",2025-08-14,"Sitelinks, Reviews, Image, Featured images, People also ask, Popular products","commercial, informational",Featured images
tube tent,14,14,480,20,0.25,https://72hours.com/products/tube-tent,0,0,0.00,1,0,"[59,59,59,72,39,39,59,59,39,32,39,48]",2025-08-14,"Sitelinks, Reviews, Image, Featured images, People also ask, Popular products","commercial, informational",Organic
mountainhouse food,13,13,260,31,0.68,https://72hours.com/collections/mountain-house,0,0,0.00,1,0,"[8,10,4,13,4,4,8,13,13,13,20,16]",2025-08-19,"Sitelinks, Reviews, Image, Video Carousel, Popular products, Things to know, AI overview","commercial, navigational",Organic
carabiner handle mugs,4,4,170,6,0.00,https://72hours.com/products/stainless-steel-mug-gift,0,0,0.00,0,0,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-22,"Sitelinks, Reviews, Image, Featured images, People also ask, Popular products","informational, transactional",Organic
roadside kit for car,19,19,260,39,0.39,https://72hours.com/collections/car-emergency-kit,0,0,0.00,1,0,"[26,21,26,26,39,72,17,17,21,17,26,17]",2025-09-04,"Sitelinks, Reviews, AMP, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
seventy two hour kits,3,3,320,31,0.89,https://72hours.com/collections/emergency-kit,0,0,0.00,1,0,"[17,14,17,17,11,21,17,9,4,59,59,100]",2025-08-24,"Sitelinks, Reviews, Image, People also ask, Popular products, Related searches",informational,Organic
dynamo torch,20,20,210,27,0.00,https://72hours.com/products/led-flashlight-dynamo-hand-crank,0,0,0.00,0.09,0,"[34,65,65,53,65,65,81,81,81,81,81,81]",2025-09-01,"Reviews, Video, AMP, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
flashlight with hand crank,5,5,480,33,0.33,https://72hours.com/products/led-flashlight-dynamo-hand-crank,0,0,0.00,1,0,"[76,76,45,55,30,100,0,20,8,8,16,20]",2025-08-17,"Sitelinks, Reviews, Video, Image, Featured images, People also ask, Popular products",informational,Organic
72 hour disaster kit,14,14,320,36,0.81,https://72hours.com/,0,0,0.00,1,0,"[66,81,81,81,35,35,35,44,18,35,81,81]",2025-08-31,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
dynamo flashlight,16,16,390,11,0.41,https://72hours.com/products/led-flashlight-dynamo-hand-crank,0,0,0.00,0.84,0,"[7,8,11,16,13,11,13,13,13,16,20,13]",2025-08-18,"Knowledge panel, Reviews, Image, Video Carousel, People also ask, Popular products","informational, transactional",Organic
fire blanket price,3,3,260,16,0.66,https://72hours.com/collections/fire-blanket,0,0,0.00,1,0,"[44,44,29,44,81,54,19,19,12,6,12,12]",2025-08-21,"Sitelinks, Reviews, Image, People also ask, Popular products, Discussions and forums",transactional,Organic
mountain house.,4,4,170,43,0.00,https://72hours.com/collections/mountain-house,0,0,0.00,0,0,"[3,100,30,3,2,3,3,2,3,2,3,3]",2025-09-08,"Sitelinks, Reviews, Image, Featured images, Video Carousel, Popular products, Things to know, Discussions and forums",navigational,Things to know
mountain house stroganoff,16,16,210,17,0.47,https://72hours.com/products/mountain-house-beef-stroganoff-with-noodles-pouch-two-serving,0,0,0.00,1,0,"[66,100,43,43,43,35,53,43,53,66,53,66]",2025-08-17,"Reviews, Image, Featured images, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, People also search","informational, transactional",Organic
mountain house 10 cans,19,19,210,15,0.94,https://72hours.com/products/beef-stew-10-can-package-mountain-house,0,0,0.00,1,0,"[29,23,23,29,23,15,23,23,23,23,29,36]",2025-08-27,"Reviews, Video, Image, Featured images, People also ask, Popular products","informational, transactional",Organic
72 hrs,9,9,590,40,1.08,https://72hours.com/,0,0,0.00,0,0,"[24,11,55,5,11,44,16,8,11,8,13,24]",2025-08-18,"Sitelinks, Reviews, AMP, Image, Featured images, Video Carousel, People also ask, Twitter carousel, Related searches",informational,Featured images
72 hrs,10,10,590,40,1.08,https://72hours.com/collections/deluxe-emergency-survival-kit,0,0,0.00,0,0,"[24,11,55,5,11,44,16,8,11,8,13,24]",2025-08-18,"Sitelinks, Reviews, AMP, Image, Featured images, Video Carousel, People also ask, Twitter carousel, Related searches",informational,Organic
emergency kits for sale,12,12,260,38,0.73,https://72hours.com/collections/emergency-kit,0,0,0.00,1,0,"[43,43,66,81,81,100,81,22,14,43,35,29]",2025-08-28,"Local pack, Sitelinks, Reviews, Image, People also ask, Popular products, Explore brands",transactional,Organic
mountain house beef stew,7,7,260,28,0.56,https://72hours.com/products/mountain-house-beef-stew-pouch-one-serving,0,0,0.00,0.99,0,"[20,20,20,20,20,20,24,16,16,16,16,16]",2025-08-17,"Sitelinks, Video, Featured images, People also ask, Short videos",navigational,Organic
family lifestraw,11,11,170,28,0.78,https://72hours.com/products/lifestraw-family-1-0,0,0,0.00,1,0,"[35,35,53,66,43,35,12,66,66,66,35,66]",2025-08-25,"Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
where to buy fire blanket,13,13,260,35,0.91,https://72hours.com/collections/fire-blanket,0,0,0.00,1,0,"[36,29,29,44,81,81,23,15,15,15,10,10]",2025-08-24,"Local pack, Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products, Discussions and forums",transactional,Organic
tent tube,12,12,210,22,0.25,https://72hours.com/products/tube-tent,0,0,0.00,1,0,"[66,43,35,35,43,81,66,43,43,43,35,35]",2025-08-23,"Sitelinks, Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","informational, transactional",Featured images
flashlight wind up,2,2,260,29,0.30,https://72hours.com/products/led-flashlight-dynamo-hand-crank,0,0,0.00,1,0,"[54,81,44,100,44,66,28,35,18,35,44,28]",2025-08-24,"Sitelinks, Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products","informational, transactional",Organic
thermal blankets,16,16,1300,20,0.74,https://72hours.com/products/thermal-blanket,0,0,0.00,1,0,"[7,19,15,28,28,36,36,28,8,5,5,10]",2025-09-07,"Sitelinks, Reviews, Image, Featured images, People also ask, Popular products, Things to know","commercial, informational",Organic
where to purchase fire blankets,15,15,260,30,0.91,https://72hours.com/collections/fire-blanket,0,0,0.00,1,0,"[36,44,36,36,81,100,10,12,12,10,10,7]",2025-08-23,"Local pack, Sitelinks, Reviews, Image, Shopping ads, People also ask, Popular products, Discussions and forums",transactional,Organic
earthquake alarm,14,14,320,55,0.00,https://72hours.com/products/earthquake-detector-quake-alarm,0,0,0.00,0.04,0,"[11,48,32,39,14,26,17,17,32,72,32,21]",2025-08-21,"Sitelinks, Reviews, Image, People also ask, Things to know","commercial, informational",Organic
candles for survival,14,14,170,18,0.36,https://72hours.com/products/36-hour-candle-survival,0,0,0.00,1,0,"[0,44,8,66,54,66,11,35,18,18,18,15]",2025-08-26,"Sitelinks, Reviews, Video, AMP, Image, Featured images, Video Carousel, People also ask, Popular products",commercial,Featured images
mask ready,10,10,590,7,2.56,https://72hours.com/products/reusable-face-mask-black-v2-pack-of-3-ready-first-aid,0,0,0.00,0.95,0,"[55,67,45,55,20,45,13,24,100,10,67,30]",2025-08-27,"Video, Image, Featured images, People also ask",informational,Organic
mylar thermal blanket,7,7,170,28,0.82,https://72hours.com/products/thermal-blanket,0,0,0.00,1,0,"[22,22,29,43,35,54,66,35,22,29,35,22]",2025-09-06,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Popular products, Discussions and forums",commercial,Organic
sleeping bag emergency,14,14,390,13,0.35,https://72hours.com/products/emergency-sleeping-bag,0,0,0.00,1,0,"[45,62,36,24,8,30,30,3,16,16,13,10]",2025-08-21,"Sitelinks, Reviews, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
meals ready to eat with heater,9,9,880,20,0.38,https://72hours.com/products/xmre-12-meal-case-with-flameless-heaters,0,0,0.00,0.68,0,"[67,76,36,67,24,67,13,100,100,100,76,67]",2025-08-25,"Sitelinks, Reviews, Image, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
cranking flashlight,9,9,480,36,0.32,https://72hours.com/products/led-flashlight-dynamo-hand-crank,0,0,0.00,1,0,"[8,67,67,55,100,76,24,0,0,20,20,10]",2025-09-01,"Sitelinks, Reviews, Video, Image, Featured images, Video Carousel, People also ask, Popular products, Discussions and forums","informational, transactional",Organic
