Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
72 hrs,1,1,590,47,0.94,https://72hours.com/,20,0.99,18.00,0,335000000,"[11,55,5,11,44,16,8,11,8,13,24,20]",2025-10-02,"Sitelinks, Video, Image, People also ask, Twitter carousel, Related searches, AI overview",informational,AI overview
72 hour survival kit,4,4,880,32,0.79,https://72hours.com/collections/emergency-kit,19,0.94,15.00,0.79,36600000,"[55,45,30,20,45,13,45,62,55,81,100,100]",2025-10-04,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
fire blankets for sale,5,5,720,22,1.28,https://72hours.com/collections/fire-blanket,17,0.84,21.00,1,39800000,"[4,5,10,3,100,52,16,10,8,8,8,4]",2025-09-04,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
72 hr,2,2,210,29,1.08,https://72hours.com/,17,0.84,18.00,0,324000000,"[14,21,17,17,48,32,5,39,32,21,14,14]",2025-08-16,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
camping toilet lid,2,2,210,3,0.41,https://72hours.com/products/snap-on-toilet-lid,17,0.84,6.00,1,7120000,"[100,23,0,44,29,29,4,36,15,12,29,66]",2025-08-16,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
72hours,8,8,590,42,1.08,https://72hours.com/collections/essential-emergency-survival-kit,14,0.69,15.00,0,49400000,"[20,10,79,16,41,41,54,10,5,13,10,20]",2025-09-03,"Image pack, Sitelinks, Video, Image, Related searches",navigational,Organic
flashlight with hand crank,2,2,480,29,0.33,https://72hours.com/products/led-flashlight-dynamo-hand-crank,14,0.69,4.00,1,1570000,"[76,76,45,55,30,100,0,20,8,8,16,20]",2025-09-08,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,Organic
crankable flashlight,2,2,390,19,0.32,https://72hours.com/products/led-flashlight-dynamo-hand-crank,13,0.64,4.00,1,2510000,"[0,100,54,100,36,100,0,12,7,67,19,67]",2025-08-15,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",transactional,Organic
hand crank flashlights,4,4,390,30,0.33,https://72hours.com/products/led-flashlight-dynamo-hand-crank,13,0.64,4.00,1,85,"[24,16,13,30,100,20,36,8,3,5,30,67]",2025-09-01,"Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
survival kit 72 hours,3,3,170,41,0.81,https://72hours.com/,13,0.64,10.00,1,36200000,"[43,35,53,82,35,53,35,35,100,0,0,0]",2025-09-10,"Image pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
mres rations,2,2,170,40,0.51,https://72hours.com/collections/mres,13,0.64,6.00,1,94900,"[0,54,66,100,28,35,0,35,0,0,0,54]",2025-08-30,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
72 hour backpack,3,3,170,25,0.86,https://72hours.com/collections/deluxe-emergency-survival-kit,13,0.64,11.00,1,22000000,"[65,53,53,65,65,53,65,43,43,43,34,65]",2025-09-07,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Organic
best hand crank flashlight,3,3,170,20,0.43,https://72hours.com/products/led-flashlight-dynamo-hand-crank,13,0.64,5.00,1,94,"[53,42,80,100,100,80,100,53,65,80,53,53]",2025-08-26,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
72 hours,1,1,12100,46,0.00,https://72hours.com/,12,0.59,0.00,0,1730000000,"[36,44,100,66,66,29,44,36,81,66,54,44]",2025-10-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
snap on toilet seat,2,2,140,14,0.26,https://72hours.com/products/snap-on-toilet-lid,11,0.54,2.00,1,83,"[53,53,65,42,53,42,42,34,53,34,53,42]",2025-08-20,"Image pack, Video, Image, Shopping ads, Popular products, Related searches",transactional,Organic
hand powered flashlight,2,2,140,26,0.33,https://72hours.com/products/led-flashlight-dynamo-hand-crank,11,0.54,3.00,1,61300000,"[66,42,42,66,66,52,52,33,66,80,100,66]",2025-09-02,"Image pack, Sitelinks, Video, Popular products, Related searches","informational, transactional",Organic
traction mat,1,0,320,27,1.23,https://72hours.com/products/72hrs-car-tire-traction-mat-set-of-2,10,0.49,12.00,1,20500000,"[10,8,24,36,55,20,8,55,8,20,20,13]",2025-10-09,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Explore brands",commercial,Image pack
72 hour,1,1,720,42,1.08,https://72hours.com/,9,0.44,9.00,0,1580000000,"[16,8,16,10,19,12,12,4,3,0,3,5]",2025-09-09,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
72 hour survival backpack,2,2,70,23,0.88,https://72hours.com/collections/deluxe-emergency-survival-kit,9,0.44,7.00,1,74,"[3,3,3,3,3,18,18,18,18,6,3,18]",2025-08-15,"Image pack, Video, Image, People also ask, Popular products, Related searches",transactional,Organic
emergency car,5,5,260,39,1.96,https://72hours.com/collections/car-emergency-kit,9,0.44,17.00,0.16,898000000,"[14,81,54,18,66,54,66,54,66,54,66,54]",2025-09-07,"Image pack, Sitelinks, Video, Related searches",informational,Organic
the 72 survival kit,2,2,70,38,0.55,https://72hours.com/collections/deluxe-emergency-survival-kit,9,0.44,4.00,1,74400000,"[5,7,5,7,10,5,28,17,100,12,5,17]",2025-09-08,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
72 hour candle,1,1,40,0,0.00,https://72hours.com/products/36-hour-candle-survival,9,0.44,0.00,1,10900000,"[18,18,18,100,18,18,100,18,18,18,18,18]",2025-08-31,"Image pack, Video, Image, Related searches, Explore brands","informational, transactional",Organic
crank flashlights,3,3,260,29,0.32,https://72hours.com/products/led-flashlight-dynamo-hand-crank,9,0.44,2.00,1,906000,"[81,66,66,100,81,43,100,43,35,35,10,35]",2025-09-03,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums","commercial, informational",Organic
72 hour bag,8,8,320,35,0.94,https://72hours.com/collections/deluxe-emergency-survival-kit,7,0.34,6.00,1,128000000,"[44,36,54,66,36,36,54,44,54,44,36,54]",2025-09-04,"Image pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
72 hour disaster kit,10,10,320,45,0.81,https://72hours.com/,7,0.34,5.00,1,4380000,"[66,81,81,81,35,35,35,44,18,35,81,81]",2025-08-16,"Sitelinks, Video, Video Carousel, Popular products, Related searches, Discussions and forums, Explore brands",commercial,Organic
fire blanket price,4,4,260,7,0.66,https://72hours.com/collections/fire-blanket,7,0.34,4.00,1,50600000,"[44,44,29,44,81,54,19,19,12,6,12,12]",2025-09-05,"Image pack, Video, Image, Ads bottom, Shopping ads, Popular products, Related searches, Ads middle",transactional,Organic
hand generated flashlight,2,2,90,17,0.33,https://72hours.com/products/led-flashlight-dynamo-hand-crank,7,0.34,2.00,1,12400000,"[64,41,29,52,41,64,52,41,64,64,100,64]",2025-08-26,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
72 hrs,4,4,590,47,0.94,https://72hours.com/collections/essential-emergency-survival-kit,7,0.34,6.00,0,335000000,"[11,55,5,11,44,16,8,11,8,13,24,20]",2025-10-02,"Sitelinks, Video, Image, People also ask, Twitter carousel, Related searches, AI overview",informational,Organic
snap on potty seat,2,2,90,24,0.26,https://72hours.com/products/snap-on-toilet-lid,7,0.34,1.00,1,642000,"[52,52,42,42,33,42,23,33,42,33,66,52]",2025-08-27,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
how much is a fire blanket,4,4,110,24,0.41,https://72hours.com/collections/fire-blanket,7,0.34,2.00,0.92,90900000,"[42,42,34,53,80,100,42,26,26,26,26,34]",2025-08-19,"Image pack, Video, Image, Popular products, Related searches",informational,Organic
emergency backpacks,6,6,320,34,0.75,https://72hours.com/collections/deluxe-emergency-survival-kit,7,0.34,5.00,1,44000000,"[13,8,10,10,13,8,67,45,30,30,36,36]",2025-09-12,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
blue toothbrush,1,1,210,16,0.00,https://72hours.com/products/toothbrush-blue-5-0-13-cm,6,0.29,0.00,0.95,112000000,"[81,65,53,81,43,53,53,53,65,81,65,65]",2025-09-12,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Image pack
72 hour emergency pack,3,3,210,36,0.81,https://72hours.com/collections/emergency-kit,6,0.29,4.00,1,29000000,"[66,28,100,100,35,35,28,23,0,6,0,0]",2025-08-25,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",commercial,Organic
automotive survival kit,10,10,320,39,0.55,https://72hours.com/collections/car-emergency-kit,6,0.29,3.00,1,27800000,"[19,44,44,54,100,29,29,23,19,19,15,15]",2025-08-26,"Image pack, Video, Image, Popular products, Related searches, Explore brands","informational, transactional",Organic
survival backpack kits,5,5,320,24,0.71,https://72hours.com/collections/deluxe-emergency-survival-kit,6,0.29,4.00,1,4790000,"[23,23,36,54,23,12,67,44,36,23,23,44]",2025-08-29,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
tent tube,1,1,210,8,0.25,https://72hours.com/products/tube-tent,6,0.29,1.00,1,65800000,"[66,43,35,35,43,81,66,43,43,43,35,35]",2025-09-06,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",transactional,Image pack
survival candles,1,1,320,13,0.31,https://72hours.com/products/36-hour-candle-survival,6,0.29,1.00,1,14400000,"[32,26,59,48,48,39,32,39,26,21,17,17]",2025-10-02,"Image pack, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Image pack
72 survival kit,2,2,50,32,0.52,https://72hours.com/collections/deluxe-emergency-survival-kit,6,0.29,3.00,1,75500000,"[14,14,14,14,21,14,78,35,100,35,14,28]",2025-09-08,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
orange toothbrush,1,1,90,0,0.00,https://72hours.com/products/toothbrush-with-short-handle-orange-4-0-10-cm,5,0.24,0.00,0.97,42300000,"[78,50,64,50,35,78,50,64,78,50,64,50]",2025-09-05,"Image pack, Video, Image, Popular products, Related searches, Explore brands",informational,Image pack
72 hours emergency kit,4,4,90,33,0.81,https://72hours.com/collections/emergency-kit,5,0.24,4.00,1,41200000,"[80,52,66,80,19,14,9,4,100,19,4,14]",2025-08-20,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
emergency tent,3,3,480,12,0.36,https://72hours.com/products/tube-tent,5,0.24,1.00,1,83300000,"[39,32,48,59,48,48,59,48,39,32,32,32]",2025-09-06,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Image pack
carabiner handle mugs,4,4,170,1,0.00,https://72hours.com/products/stainless-steel-mug-gift,5,0.24,0.00,0,1540000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-08-15,"Image pack, Video, Image, Popular products, Related searches","informational, transactional",Organic
fire blanket cost,3,3,210,20,0.66,https://72hours.com/collections/fire-blanket,5,0.24,3.00,1,55600000,"[29,36,29,36,66,54,15,19,19,15,15,12]",2025-08-25,"Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",transactional,Organic
72 hour kit backpack,1,1,40,20,1.09,https://72hours.com/collections/deluxe-emergency-survival-kit,5,0.24,5.00,1,5420000,"[0,0,0,2,0,0,4,2,2,2,0,2]",2025-08-27,"Image pack, Video, Image, Shopping ads, Popular products, Related searches, Discussions and forums",commercial,Organic
72 hr survival kit,2,2,40,28,0.81,https://72hours.com/collections/emergency-kit,5,0.24,4.00,1,25800000,"[14,42,42,66,19,52,4,4,4,4,0,4]",2025-08-25,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
the 72 emergency kit,2,2,40,41,0.55,https://72hours.com/collections/deluxe-emergency-survival-kit,5,0.24,2.00,1,35900000,"[18,18,18,18,18,18,100,18,100,18,18,18]",2025-09-08,"Image pack, Video, Image, Video Carousel, Popular products, Related searches, Explore brands",commercial,Organic
portable toilets for home,2,2,140,18,0.46,https://72hours.com/products/portable-toilet,4,0.19,1.00,1,41400000,"[65,34,80,65,80,100,100,26,15,7,3,80]",2025-09-08,"Local pack, Image pack, Video, Image, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
fire blankets made in usa,1,1,720,9,1.51,https://72hours.com/collections/fire-blanket,4,0.19,6.00,1,29300000,"[34,44,100,16,44,30,11,2,2,2,1,1]",2025-09-10,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
portable and toilets,7,7,2400,15,2.67,https://72hours.com/products/portable-toilet,4,0.19,10.00,1,93800000,"[54,36,54,36,54,36,66,100,0,0,0,0]",2025-09-24,"Sitelinks, Video, Image, Video Carousel, Popular products, Related searches, Discussions and forums, Explore brands",commercial,Explore brands
price of fire blanket,4,4,140,2,0.66,https://72hours.com/collections/fire-blanket,4,0.19,2.00,1,28900000,"[65,81,53,21,100,53,21,34,9,12,6,28]",2025-09-05,"Image pack, Video, Image, Popular products, Related searches",transactional,Organic
emergency 72 hour kit,4,4,70,42,0.81,https://72hours.com/collections/emergency-kit,4,0.19,3.00,1,28900000,"[9,0,3,6,3,0,9,43,6,65,100,6]",2025-08-26,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
backpack survival kit,8,8,260,24,0.66,https://72hours.com/collections/deluxe-emergency-survival-kit,4,0.19,2.00,1,11200000,"[4,29,15,44,15,81,81,81,12,12,9,36]",2025-08-26,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
the first 72 hours,5,5,140,36,0.00,https://72hours.com/,3,0.14,0.00,0.39,1290000000,"[5,5,5,5,3,11,5,1,2,2,2,1]",2025-08-23,"Image pack, Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic
backpack for emergency,6,6,90,14,0.75,https://72hours.com/collections/deluxe-emergency-survival-kit,3,0.14,2.00,1,41400000,"[1,0,0,0,0,0,4,1,1,1,100,1]",2025-09-01,"Image pack, Video, Image, Related searches, Discussions and forums, Explore brands",commercial,Organic
thermal blanket mylar,4,4,70,16,0.82,https://72hours.com/products/thermal-blanket,3,0.14,2.00,1,13500000,"[42,52,42,52,33,66,14,0,52,42,0,52]",2025-08-19,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
portable toilet cover,5,5,170,13,0.99,https://72hours.com/products/snap-on-toilet-lid,3,0.14,2.00,0.69,34600000,"[80,80,80,53,53,53,80,53,65,65,80,100]",2025-09-06,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums","commercial, informational",Organic
firestarter knife,1,1,90,13,0.47,https://72hours.com/products/7-inch-hunting-knife-with-fire-starter-survival-pocket-sheath,3,0.14,1.00,0.95,1800000,"[43,29,22,29,4,66,4,14,4,2,0,2]",2025-09-09,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
automobile emergency kit,9,9,720,41,0.49,https://72hours.com/collections/car-emergency-kit,3,0.14,1.00,1,70400000,"[3,20,41,20,100,54,20,1,30,54,4,13]",2025-09-05,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums, Explore brands",commercial,Explore brands
72 hr,1,1,210,29,1.08,https://72hours.com/,3,0.14,3.00,0,324000000,"[14,21,17,17,48,32,5,39,32,21,14,14]",2025-08-16,"Image pack, Sitelinks, Video, Image, Related searches, AI overview",informational,AI overview
hand crank light,4,4,110,29,0.47,https://72hours.com/products/led-flashlight-dynamo-hand-crank,3,0.14,1.00,0.68,57500000,"[42,52,52,52,66,52,80,42,52,42,80,52]",2025-09-02,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","commercial, informational",Organic
72 hrs,1,1,590,47,0.94,https://72hours.com/,3,0.14,2.00,0,335000000,"[11,55,5,11,44,16,8,11,8,13,24,20]",2025-10-02,"Sitelinks, Video, Image, People also ask, Twitter carousel, Related searches, AI overview",informational,AI overview
flashlight hand,7,7,140,20,0.68,https://72hours.com/products/led-flashlight-dynamo-hand-crank,3,0.14,2.00,1,58900000,"[52,66,52,100,80,100,66,33,42,42,52,66]",2025-08-26,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","commercial, informational",Organic
how much are fire blankets,4,4,70,8,0.41,https://72hours.com/collections/fire-blanket,3,0.14,1.00,0.92,57200000,"[52,64,64,64,100,100,17,17,52,11,0,5]",2025-08-19,"Image pack, Video, Image, Shopping ads, Popular products, Related searches, Discussions and forums",informational,Organic
portable toilet cover seat,4,4,90,14,0.78,https://72hours.com/products/snap-on-toilet-lid,3,0.14,2.00,0.8,29200000,"[80,0,52,52,42,80,0,42,80,52,0,0]",2025-08-28,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums","informational, transactional",Organic
72hr,2,2,260,40,0.00,https://72hours.com/,3,0.14,0.00,0,1340000,"[44,35,44,44,18,28,35,35,81,66,66,66]",2025-09-08,"Image pack, Video, People also ask, Related searches","commercial, informational",Organic
toilet snap,6,6,170,6,0.00,https://72hours.com/products/snap-on-toilet-lid,3,0.14,0.00,0.01,23500000,"[1,8,8,10,13,16,13,20,8,10,24,36]",2025-08-26,"Image pack, Sitelinks, Video, Image, Popular products, Explore brands",commercial,Organic
72 hour backpacks,2,2,30,18,0.86,https://72hours.com/collections/deluxe-emergency-survival-kit,3,0.14,2.00,1,19400000,"[36,36,27,36,27,36,45,27,18,27,18,36]",2025-08-15,"Image pack, Video, Image, Popular products, Related searches",commercial,Organic
auto survival kit,12,12,320,36,0.55,https://72hours.com/collections/car-emergency-kit,2,0.09,1.00,1,22800000,"[24,24,20,36,55,36,24,10,16,13,8,10]",2025-08-16,"Image pack, Video, Image, Popular products, Related searches, Explore brands",commercial,Organic
cranberry freeze dried,10,10,110,5,0.36,https://72hours.com/products/freeze-dried-cranberries-50g,2,0.09,0.00,1,4930000,"[53,65,53,100,100,6,0,0,0,0,0,53]",2025-08-26,"Image pack, Video, Image, Recipes, Related searches, Discussions and forums, Explore brands",commercial,Organic
72 hour tactical backpack,2,2,30,12,0.44,https://72hours.com/products/72hrs-molle-tactical-backpack,2,0.09,0.00,1,439000,"[11,11,11,64,11,11,11,11,11,11,11,11]",2025-08-28,"Image pack, Video, Image, Popular products, Related searches",transactional,Organic
72 hour kit supplies,3,3,40,33,0.69,https://72hours.com/collections/emergency-kit,2,0.09,1.00,1,13500000,"[18,18,18,18,18,18,18,18,18,100,100,18]",2025-08-31,"Image pack, Sitelinks, Video, Image, Related searches, Explore brands, AI overview",informational,Organic
fire blanket on sale,6,6,110,12,0.00,https://72hours.com/collections/fire-blanket,2,0.09,0.00,0.6,24400000,"[0,0,0,17,100,2,2,2,2,2,2,2]",2025-08-23,"Image pack, Video, Image, Popular products, Related searches, Explore brands",transactional,Organic
with cover,1,1,70,14,26.86,https://72hours.com/products/clipboard-with-cover,2,0.09,53.00,0.01,9420000000,"[80,4,66,66,66,66,9,0,0,0,0,52]",2025-08-31,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Image pack
survival backpack kit,11,11,320,22,0.71,https://72hours.com/collections/deluxe-emergency-survival-kit,2,0.09,1.00,1,10500000,"[10,16,24,36,16,30,45,30,24,16,10,30]",2025-09-05,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
orange toothbrush,5,5,90,0,0.00,https://72hours.com/products/toothbrush-with-short-handle-orange-4-0-10-cm,2,0.09,0.00,0.97,42300000,"[78,50,64,50,35,78,50,64,78,50,64,50]",2025-09-05,"Image pack, Video, Image, Popular products, Related searches, Explore brands",informational,Organic
how much does a fire blanket cost,3,3,50,9,0.29,https://72hours.com/collections/fire-blanket,2,0.09,0.00,0.95,55600000,"[18,100,18,100,100,100,63,27,27,18,18,18]",2025-08-27,"Image pack, Video, Image, Shopping ads, Popular products, Related searches, Discussions and forums",informational,Organic
instant fire,7,7,110,2,0.18,https://72hours.com/products/instant-fire-2-gallon-1,2,0.09,0.00,0.88,767000000,"[18,8,11,15,18,18,28,28,23,11,18,11]",2025-09-08,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
mountain house beef stew,4,4,260,16,0.56,https://72hours.com/products/beef-stew-10-can-package-mountain-house,2,0.09,1.00,0.99,6610000,"[20,20,20,20,20,20,24,16,16,16,16,16]",2025-08-29,"Image pack, Video, Recipes, Popular products, Related searches, AI overview","informational, transactional",Organic
handcrank flashlight,5,5,70,25,0.33,https://72hours.com/products/led-flashlight-dynamo-hand-crank,2,0.09,0.00,1,2110000,"[0,0,0,0,0,0,0,35,54,35,5,0]",2025-08-23,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",transactional,Organic
emergency supply backpack,8,8,110,27,0.83,https://72hours.com/collections/deluxe-emergency-survival-kit,2,0.09,1.00,1,8130000,"[34,42,42,34,34,34,80,42,34,34,42,53]",2025-08-19,"Image pack, Sitelinks, Video, Image, Shopping ads, Video Carousel, Popular products, Related searches, Discussions and forums",transactional,Organic
hand powered torch,2,2,90,32,0.33,https://72hours.com/products/led-flashlight-dynamo-hand-crank,2,0.09,0.00,1,105000000,"[78,50,35,64,50,64,35,50,78,64,50,78]",2025-08-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","commercial, informational",Organic
72 hour preparedness kit,3,3,30,30,0.72,https://72hours.com/collections/emergency-kit,2,0.09,1.00,1,2910000,"[18,18,18,18,18,18,18,18,36,100,18,27]",2025-08-31,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
clipboard with cover,1,1,170,9,2.11,https://72hours.com/products/clipboard-with-cover,2,0.09,4.00,1,159000000,"[65,65,65,34,43,34,53,43,53,53,34,34]",2025-09-11,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches","informational, transactional",Image pack
flashlight crank,3,3,90,25,0.32,https://72hours.com/products/led-flashlight-dynamo-hand-crank,2,0.09,0.00,1,2400000,"[33,33,42,33,42,42,33,52,42,42,52,80]",2025-09-07,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",transactional,Organic
ration wiki,6,6,1000,22,0.00,https://72hours.com/collections/mres,2,0.09,0.00,0,1150000,"[43,10,8,5,28,3,1,1,1,3,66,0]",2025-09-21,"Sitelinks, Video, People also ask, Related searches",informational,People also ask
water for 72 hour kit,3,3,30,28,0.69,https://72hours.com/products/72hours-emergency-drinking-water-125ml,2,0.09,1.00,0.08,87700000,"[0,18,18,18,18,18,18,18,18,18,18,100]",2025-09-04,"Image pack, Video Carousel, Popular products, Related searches, Discussions and forums, Explore brands",commercial,Organic
roadside emergency car kit,14,14,590,35,0.47,https://72hours.com/collections/car-emergency-kit,2,0.09,0.00,1,9930000,"[6,16,20,24,55,100,45,24,24,16,24,55]",2025-09-08,"Image pack, Video, Image, Popular products, Related searches, Discussions and forums",commercial,Organic
mre pack,12,12,320,33,0.52,https://72hours.com/collections/mres,2,0.09,1.00,1,4140000,"[59,9,0,100,11,26,14,21,17,59,48,26]",2025-09-05,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
ev fire blanket cost,2,2,70,7,0.65,https://72hours.com/collections/fire-blanket,2,0.09,1.00,1,77,"[50,50,50,50,50,35,100,64,100,50,50,28]",2025-08-23,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,People also ask
flashlight hand powered,2,2,90,30,0.33,https://72hours.com/products/led-flashlight-dynamo-hand-crank,2,0.09,0.00,1,34800000,"[78,50,35,64,50,64,35,35,64,64,100,100]",2025-08-20,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Explore brands",commercial,Organic
