Trang hàng đầu,Lượt nhấp,Lượt hiển thị,CTR,Vị trí
https://72hours.com/collections/pet-emergency-preparedness,11,7097,0.15%,39.46
https://72hours.com/products/telescopic-fire-bellow,11,2716,0.41%,18.76
https://72hours.com/products/adhesive-silk-surgical-tape-1-in-x-10-yards,11,1541,0.71%,12.3
https://72hours.com/products/lentil-stew-with-potatoes-and-ham-mre-star,11,1329,0.83%,32.49
https://72hours.com/products/60-person-emergency-cabinet-kit,11,515,2.14%,14.37
https://72hours.com/products/disposable-toilet-seat-covers,10,16589,0.06%,18.44
https://72hours.com/products/5-gallon-mylar-bag-open-end,10,9469,0.11%,18.51
https://72hours.com/products/mountain-house-mac-and-cheese-pouch-one-serving,10,3801,0.26%,12.72
https://72hours.com/products/emergency-aluminized-heavy-duty-mylar-blanket,10,3522,0.28%,28.64
https://72hours.com/products/wool-blanket-50-wool-51-x-80-2lbs-gray-color,10,1540,0.65%,15.11
https://72hours.com/products/green-mylar-bag-for-44-lb-pelletized-hops,10,910,1.1%,38.13
https://72hours.com/products/swiss-army-knife-adventurer-red-victorinox,10,766,1.31%,13.47
https://72hours.com/products/led-flashlight-dynamo-hand-crank?variant=43036606890162&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,10,116,8.62%,1.71
https://72hours.com/products/telescopic-fire-bellow?variant=43036750643378&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,10,36,27.78%,2.75
https://72hours.com/pages/contact-us-form,9,27618,0.03%,9.3
https://72hours.com/products/clipboard-with-cover,9,9797,0.09%,11.65
https://72hours.com/products/emergency-sleeping-bag,9,5691,0.16%,20.52
https://72hours.com/products/readywise-60-servings-emergency-freeze-dried-meat,9,3196,0.28%,28.38
https://72hours.com/products/lifestraw-family-1-0,9,2461,0.37%,26.61
https://72hours.com/products/2-gallon-mylar-bag-open-end,9,2381,0.38%,7.77
https://72hours.com/products/beef-stew-10-can-package-mountain-house,9,1961,0.46%,16.91
https://72hours.com/products/1-gallon-mylar-bag-open-end,9,1740,0.52%,11.9
https://72hours.com/products/jetboil-sumo?variant=43036731408562&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,9,455,1.98%,14.04
https://72hours.com/products/telescopic-fire-bellow?variant=43036750643378&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,9,61,14.75%,3.11
https://72hours.com/products/lifestraw-go-water-bottle,8,16036,0.05%,17.67
https://72hours.com/products/freeze-dried-cranberries-50g,8,4162,0.19%,21.65
https://72hours.com/products/freeze-dried-blueberries-34g,8,3885,0.21%,39.14
https://72hours.com/products/survival-tabs-gluten-free-chocolate,8,2109,0.38%,17.49
https://72hours.com/products/4-person-72hrs-essential-toilet-emergency-survival-kit,8,1948,0.41%,13.49
https://72hours.com/collections/s-o-s-emergency-rations,8,1886,0.42%,23.73
https://72hours.com/products/jungle-master-machete,8,1784,0.45%,12.93
https://72hours.com/collections/shop-all-water,8,1204,0.66%,22.84
https://72hours.com/products/72hrs-30-day-1-month-2000-calories-per-day-emergency-food-supply-survival-food-kit-copy,8,1166,0.69%,12.01
https://72hours.com/products/2-person-72hrs-deluxe-backpack-emergency-survival-kit?variant=43052753682610&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,8,106,7.55%,2.59
https://72hours.com/products/2-person-72hrs-tactical-deluxe-backpack-kit-with-noaa-weatherband-radio?variant=43052743229618&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,8,56,14.29%,4.57
https://72hours.com/products/freeze-dried-blueberries-60g,7,5308,0.13%,14.2
https://72hours.com/products/3600-calorie-s-o-s-emergency-food-ration-case-of-20,7,3934,0.18%,18.44
https://72hours.com/products/s-o-s-emergency-drinking-water-by-the-case-96-packs,7,2146,0.33%,18.13
https://72hours.com/pages/reviews,7,1840,0.38%,6.73
https://72hours.com/collections/survival-tabs,7,1560,0.45%,13.18
https://72hours.com/products/breakfast-assortment-bucket-16-pouches-mountain-house,7,1443,0.49%,20.61
https://72hours.com/products/72hrs-wool-fire-blanket,7,1001,0.7%,19.54
https://72hours.com/collections/food-and-water-refill-kit,7,830,0.84%,20.51
https://72hours.com/products/72hrs-tactical-molle-pouch-first-aid-bag-red,7,774,0.9%,15.64
https://72hours.com/products/all-in-one-auto-emergency-tool,7,457,1.53%,13.18
https://72hours.com/products/2-person-72hrs-essential-toilet-emergency-survival-kit,7,174,4.02%,15.74
https://72hours.com/products/aluminum-coated-interior-emergency-tube-tent?variant=43036607479986&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,7,30,23.33%,1.93
https://72hours.com/products/3600-calorie-72hours-emergency-food-ration?variant=43036687859890&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,7,17,41.18%,2.18
https://72hours.com/collections/survival-kits,6,49683,0.01%,21.66
https://72hours.com/collections/food,6,19962,0.03%,7.81
https://72hours.com/collections/water,6,16505,0.04%,9.19
https://72hours.com/collections/group-emergency-kits-5,6,7661,0.08%,10.07
https://72hours.com/collections/emergency-rations,6,4413,0.14%,33.74
https://72hours.com/products/wooden-splint-22-86cm-x-5-08cm-2x-9,6,4407,0.14%,14.6
https://72hours.com/products/4-person-72hrs-deluxe-toilet-emergency-survival-kit,6,3066,0.2%,21.13
https://72hours.com/products/mountain-house-lasagna-with-meat-sauce-pouch-one-serving,6,2780,0.22%,11.22
https://72hours.com/products/jetboil-1-5l-ceramic-fluxring-cook-pot,6,1892,0.32%,22.6
https://72hours.com/products/jetboil-5l-fluxring-genesis-cooking-pot-with-lid,6,1455,0.41%,14.86
https://72hours.com/products/solar-dynamo-voyager-trek-radio-flashlight,6,1379,0.44%,16.58
https://72hours.com/products/replacement-air-filters-for-balaclava-5-ply-pack-of-4-72hrs,6,1375,0.44%,27.49
https://72hours.com/products/70-person-emergency-cabinet-kit,6,1218,0.49%,16.68
https://72hours.com/pages/refund-policy,6,961,0.62%,9.91
https://72hours.com/products/deluxe-rechargeable-5-watt-flashlight-ul-approved-rechargeable-battery-285-300-lumens,6,941,0.64%,16.03
https://72hours.com/products/snap-on-toilet-lid?variant=43036602499250&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,6,251,2.39%,2.59
https://72hours.com/products/3600-calorie-s-o-s-emergency-food-ration?variant=43036640411826&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,6,153,3.92%,9.25
https://72hours.com/products/tube-tent?variant=43036602007730&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,6,88,6.82%,2.22
https://72hours.com/products/tube-tent?variant=43036602007730&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,6,69,8.7%,1.48
https://72hours.com/products/3600-calorie-datrex-emergency-food-ration?variant=43036600926386&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,6,58,10.34%,3.91
https://72hours.com/products/3600-calorie-s-o-s-emergency-food-ration?variant=43036640411826&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,6,42,14.29%,7.4
https://72hours.com/products/led-flashlight-dynamo-hand-crank?variant=43036606890162&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,6,28,21.43%,1.25
https://72hours.com/products/aluminum-coated-interior-emergency-tube-tent?variant=43036607479986&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,6,24,25%,1.71
https://72hours.com/collections/real-meal-emergency-survival-kit,5,8362,0.06%,32.14
https://72hours.com/products/contactless-door-opener-keychain-72hours,5,3688,0.14%,22.02
https://72hours.com/products/mountain-house-beef-stew-pouch-one-serving,5,3585,0.14%,13.71
https://72hours.com/products/toothbrush-with-short-handle-orange-4-0-10-cm,5,2256,0.22%,11.22
https://72hours.com/products/5-1-survival-tool-compass-punch-striker-flint-whistle,5,1722,0.29%,18.94
https://72hours.com/products/jetboil-minimo?variant=43036733014194&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,5,1575,0.32%,14
https://72hours.com/products/7-inch-hunting-knife-with-fire-starter-survival-pocket-sheath,5,1310,0.38%,28.19
https://72hours.com/products/30-watt-megaphone-with-voice-recorder-siren-380-yards-range,5,1292,0.39%,20.15
https://72hours.com/products/5ft-overall-length-aluminum-coated-insulated-poncho,5,1261,0.4%,13.21
https://72hours.com/products/aluminum-coated-interior-emergency-tube-tent,5,1201,0.42%,15.25
https://72hours.com/products/reusable-face-mask-black-v2-pack-of-3-ready-first-aid,5,1156,0.43%,26.06
https://72hours.com/products/emergency-aluminized-pe-heavy-duty-mylar-bag,5,943,0.53%,27.38
https://72hours.com/products/spaghetti-with-meat-sauce-10-can-package-mountain-house,5,879,0.57%,14.62
https://72hours.com/products/mountain-house-chicken-and-mashed-potatoes-pouch-two-serving,5,804,0.62%,13.27
https://72hours.com/products/aluminum-compact-multi-purpose-shovel,5,519,0.96%,18.21
https://72hours.com/products/datrex-emergency-drinking-water-125ml?variant=43036601352370&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,5,42,11.9%,2.4
https://72hours.com/products/xmre-12-meal-case-with-flameless-heaters?variant=43036754411698&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,5,24,20.83%,4.5
https://72hours.com/products/lifestraw-water-filter,4,7409,0.05%,30.12
https://72hours.com/products/portable-camping-cot-72hrs,4,4560,0.09%,23.91
https://72hours.com/products/300-cc-oxygen-absorbers,4,3411,0.12%,18.26
https://72hours.com/products/lifestraw-carbon-filter-replacement,4,2770,0.14%,20.05
https://72hours.com/products/entree-assortment-bucket-12-pouches-mountain-house,4,2549,0.16%,15.67
https://72hours.com/products/mountain-house-spaghetti-with-meat-sauce-pouch-one-serving,4,2481,0.16%,10.49
https://72hours.com/products/jetboil-stash,4,2329,0.17%,42.69
https://72hours.com/products/1-person-72hrs-deluxe-backpack-emergency-survival-kit,4,1954,0.2%,49.23
https://72hours.com/products/mountain-house-ground-beef-gf-10-can,4,1670,0.24%,17.06
https://72hours.com/products/mountain-house-pasta-primavera-pouch-one-serving,4,1626,0.25%,9.7
https://72hours.com/products/mountain-house-pad-thai-with-chicken-pouch-two-serving,4,1617,0.25%,11.53
https://72hours.com/products/coghlans-disposable-hand-warmer-1-pair,4,1602,0.25%,56.36
https://72hours.com/products/2-person-72hrs-deluxe-backpack-emergency-survival-kit,4,1514,0.26%,12.85
https://72hours.com/products/lifestraw-flex-with-gravity-bag,4,781,0.51%,25.91
https://72hours.com/products/1-quart-ziplock-mylar-bag,4,706,0.57%,14.68
https://72hours.com/products/led-penlight-with-clip,4,637,0.63%,35.98
https://72hours.com/products/5-watt-200-lumens-flashlight-titanium-aluminum-body,4,630,0.63%,15.29
https://72hours.com/products/1-2-gallon-mylar-bag-open-end,4,582,0.69%,12.4
https://72hours.com/products/lifestraw-go-water-filtration-bottle-1l,4,581,0.69%,40.97
https://72hours.com/products/1-person-72hrs-tactical-deluxe-backpack-kit-with-noaa-weatherband-radio,4,525,0.76%,15.05
https://72hours.com/products/400-calorie-s-o-s-emergency-ration-coconut,4,343,1.17%,8.97
https://72hours.com/products/72hrs-collapsible-camping-lantern,4,310,1.29%,15.74
https://72hours.com/pages/shipping,4,262,1.53%,6.17
https://72hours.com/products/15-x-12-inflatable-travel-pillow-210t-terylene-pvc-coating-water-resistant,4,220,1.82%,7.75
https://72hours.com/products/72hrs-led-work-light,4,113,3.54%,7.58
https://72hours.com/products/lifestraw-play?variant=43036728590514&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,4,92,4.35%,9.39
https://72hours.com/products/3600-calorie-72hours-emergency-food-ration?variant=43036687859890&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,4,54,7.41%,5.19
https://72hours.com/products/clipboard-with-cover?variant=43036684419250&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,4,34,11.76%,2.41
https://72hours.com/products/thermal-blanket?variant=43052753977522&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,4,23,17.39%,2.35
https://72hours.com/products/1-person-72hrs-tactical-deluxe-backpack-kit-with-noaa-weatherband-radio?variant=43052743360690&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,4,12,33.33%,4.75
https://72hours.com/collections/freeze-dried-fruits,3,10029,0.03%,56.68
https://72hours.com/collections/radio-and-communication,3,6318,0.05%,11.63
https://72hours.com/products/two-tank-water-storage,3,3235,0.09%,30.38
https://72hours.com/products/mountain-house-scrambled-eggs-with-bacon-pouch-one-serving-1,3,2661,0.11%,12.93
https://72hours.com/products/readywise-90-servings-organic-emergency-freeze-dried-food,3,2337,0.13%,30.68
https://72hours.com/products/copy-of-72hrs-30-day-emergency-food-supply-survival-food-kit-2000-calories-per-day,3,1865,0.16%,22.91
https://72hours.com/products/pry-crow-bar-16-inch,3,1778,0.17%,25.42
https://72hours.com/products/2-person-72hrs-essential-backpack-emergency-survival-kit,3,1389,0.22%,24.03
https://72hours.com/products/chest-seal-combo-sam-medical,3,1347,0.22%,41.5
https://72hours.com/collections/freeze-dried-food,3,1268,0.24%,54.85
https://72hours.com/products/72hrs-9-in-1-multi-function-tool,3,1124,0.27%,24.22
https://72hours.com/products/jetboil-silicone-coffee-press-regular,3,1057,0.28%,47.28
https://72hours.com/products/3-in-1-collapsible-snow-shovel,3,1041,0.29%,38.73
https://72hours.com/products/50-litre-water-kit,3,835,0.36%,28.38
https://72hours.com/products/gamma-seal-lid-white-2-0-gallon-bucket,3,778,0.39%,47.5
https://72hours.com/collections/storage,3,704,0.43%,8.9
https://72hours.com/products/tourniquet-sam-xt-sam-medical,3,692,0.43%,44.29
https://72hours.com/products/jetboil-luna-satellite-burner?variant=43036724068530&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,3,671,0.45%,16.36
https://72hours.com/products/72hrs-30-day-emergency-food-supply-survival-food-kit-2000-calories-per-day,3,667,0.45%,32.69
https://72hours.com/products/glow-sticks,3,544,0.55%,29.3
https://72hours.com/products/survival-tabs-gluten-free,3,540,0.56%,14.91
https://72hours.com/products/1-gallon-ziplock-mylar-bag,3,519,0.58%,11.05
https://72hours.com/products/8-oz-stand-up-pouch-one-side-clear,3,517,0.58%,19.74
https://72hours.com/products/72hrs-rolling-duffel-bag,3,494,0.61%,20.74
https://72hours.com/products/10-person-essential-kit,3,477,0.63%,20.34
https://72hours.com/products/lifestraw-universal,3,397,0.76%,20.32
https://72hours.com/products/3-x-4-double-sided-outdoor-mirror-stainless-steel,3,359,0.84%,11.84
https://72hours.com/products/facial-and-body-soap-2fl-oz,3,324,0.93%,15.84
https://72hours.com/products/80-person-emergency-cabinet-kit,3,276,1.09%,14.31
https://72hours.com/products/400-calorie-s-o-s-emergency-ration-lemon,3,244,1.23%,16.83
https://72hours.com/products/72hrs-all-purpose-ready-seal-lids-black,3,213,1.41%,11.16
https://72hours.com/products/swiss-army-style-knife,3,212,1.42%,16.02
https://72hours.com/products/2-person-72hrs-deluxe-backpack-emergency-survival-kit?variant=43052753682610&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,3,166,1.81%,4.31
https://72hours.com/products/monocular-with-lanyard-8-x-20mm,3,109,2.75%,18.72
https://72hours.com/products/1-person-72hrs-tactical-deluxe-backpack-kit-with-noaa-weatherband-radio?variant=43052743360690&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,3,68,4.41%,8.21
https://72hours.com/products/4-person-72hrs-tactical-deluxe-backpack-kit-with-noaa-weatherband-radio?variant=43052742901938&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,3,37,8.11%,3.49
https://72hours.com/products/jetboil-minimo?variant=43036732981426&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=2,3,37,8.11%,3.86
https://72hours.com/products/thermal-blanket?variant=43052753977522&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,3,32,9.38%,2.34
https://72hours.com/products/disposable-toilet-seat-covers?variant=43036686745778&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,3,29,10.34%,1.28
https://72hours.com/products/freeze-dried-cranberries-50g?variant=43036688253106&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,3,20,15%,1.8
https://72hours.com/products/3-person-72hrs-tactical-deluxe-backpack-kit-with-noaa-weatherband-radio?variant=43052743065778&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,3,20,15%,2.9
https://72hours.com/products/tube-tent?variant=43036602007730&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,3,17,17.65%,1.94
https://72hours.com/products/36-hour-candle-survival?variant=43036603056306&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,3,15,20%,2.67
https://72hours.com/products/4-person-72hrs-essential-backpack-emergency-survival-kit?variant=43052753846450&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,3,10,30%,1.4
https://72hours.com/products/survival-tabs-gluten-free-strawberry?variant=43036641034418&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,3,10,30%,6.3
https://72hours.com/products/5-gallon-mylar-bag-open-end?variant=43036603383986&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1,3,8,37.5%,3.75
https://72hours.com/products/2-person-food-and-water-refill-kit?variant=43036608659634&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,3,6,50%,2.17
https://72hours.com/products/survival-tabs-gluten-free-strawberry?variant=43036641034418&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&com_cvv=8fb3d522dc163aeadb66e08cd7450cbbdddc64c6cf2e8891f6d48747c6d56d2c,3,6,50%,5.83
"https://72hours.com/products/stainless-steel-mug-gift?variant=43036690088114&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1&gRefinements=SALE:On 
sale",3,3,100%,1
https://72hours.com/collections/emergency-supplies,2,24287,0.01%,7.96
https://72hours.com/products/3pc-led-road-flare,2,5186,0.04%,36.02
https://72hours.com/products/mountain-house-beef-stroganoff-with-noodles-pouch-two-serving,2,3134,0.06%,14.69
https://72hours.com/products/auto-emergency-warning-triangle,2,2487,0.08%,44.38
https://72hours.com/products/72hrs-hooded-rain-poncho,2,2085,0.1%,32.49
https://72hours.com/products/jetboil-1l-fluxring-tall-aluminum-spare-cup,2,2035,0.1%,19.04
https://72hours.com/products/gamma-seal-lid-5-0-blue,2,1709,0.12%,50.02
https://72hours.com/products/kaito-voyager-pro-ka600-digital-solar-dynamo-am-fm-lw-sw-noaa-weather-emergency-radio-with-alert-rds?variant=43036607414450&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic,2,1630,0.12%,15.82
https://72hours.com/products/72hrs-disposable-hooded-rain-poncho-kids-pack-of-6,2,1556,0.13%,13.85
https://72hours.com/pages/affirm,2,1304,0.15%,24.15
https://72hours.com/products/7-in-1-survival-whistle-with-led-flashlight-orange-color,2,1289,0.16%,14.26
https://72hours.com/products/jetboil-sumo,2,1167,0.17%,34.96
